"epoch","Group: Unmasked - train/distill_loss","Group: Unmasked - train/distill_loss__MIN","Group: Unmasked - train/distill_loss__MAX","Group: Unmasked - _step","Group: Unmasked - _step__MIN","Group: Unmasked - _step__MAX","Group: Masked - train/distill_loss","Group: Masked - train/distill_loss__MIN","Group: Masked - train/distill_loss__MAX","Group: Masked - _step","Group: Masked - _step__MIN","Group: Masked - _step__MAX"
"66","0.00717930244281888","0.007070548366755247","0.007298908196389675","133","133","133","0.009412396885454654","0.009215638972818851","0.00951407477259636","133","133","133"
"67","0.007141124922782183","0.007061855401843786","0.007236842531710863","135","135","135","0.009360874630510807","0.009178237058222294","0.009495219215750694","135","135","135"
"68","0.007123594358563423","0.007048395462334156","0.007266842760145664","137","137","137","0.009246694669127465","0.00909410510212183","0.00964332465082407","137","137","137"
"69","0.007124750968068838","0.007099529262632132","0.007186228409409523","139","139","139","0.00934887509793043","0.009121314622461796","0.009476673789322376","139","139","139"
"70","0.007040345761924982","0.006934668403118849","0.007144119590520859","141","141","141","0.009000045247375965","0.008795716799795628","0.009196853265166283","141","141","141"
"71","0.00702004162594676","0.006971339229494333","0.007071612868458033","143","143","143","0.008934185095131397","0.008702615275979042","0.009079625830054283","143","143","143"
"72","0.0070000066421926025","0.0069240061566233635","0.007109882775694132","145","145","145","0.008952498808503151","0.008619679138064384","0.009332054294645786","145","145","145"
"73","0.007006881292909384","0.006922170519828796","0.007114130537956953","147","147","147","0.008897247910499572","0.008708824403584003","0.009133690968155861","147","147","147"
"74","0.006939789187163115","0.006823651026934385","0.00716022402048111","149","149","149","0.008836984634399414","0.008667897433042526","0.009066471830010414","149","149","149"
"75","0.006914167851209641","0.006833638064563274","0.006980739068239927","151","151","151","0.008790045976638794","0.008558735251426697","0.008955128490924835","151","151","151"
"76","0.006971163209527731","0.00689740339294076","0.007125161122530699","153","153","153","0.008715536631643771","0.008599235676229","0.008933105506002903","153","153","153"
"77","0.0068746254779398445","0.006843067705631256","0.00696449913084507","155","155","155","0.00862626563757658","0.008449362590909004","0.008743115700781345","155","155","155"
"78","0.006911669112741947","0.006724493112415075","0.007081899326294661","157","157","157","0.008787922747433185","0.008673989214003086","0.008928939700126648","157","157","157"
"79","0.0068609433248639105","0.006700142752379179","0.0069716754369437695","159","159","159","0.008624226972460746","0.008410880342125893","0.008898221887648106","159","159","159"
"80","0.006785040907561779","0.006728340405970812","0.0068246908485889435","161","161","161","0.008619672805070876","0.008404332213103771","0.008807051926851273","161","161","161"
"81","0.0068383699283003805","0.006783667486160994","0.006995745934545994","163","163","163","0.008553319796919822","0.008313278667628765","0.008807164616882801","163","163","163"
"82","0.006809526961296797","0.006699530407786369","0.007066722027957439","165","165","165","0.008513463474810124","0.008408954367041588","0.008868911303579807","165","165","165"
"83","0.006741238478571177","0.006657603662461042","0.006824234966188669","167","167","167","0.008463639579713345","0.008260964415967464","0.008590037934482098","167","167","167"
"84","0.0066823486238718035","0.0065856510773301125","0.006757749710232019","169","169","169","0.008360209874808788","0.008132293820381165","0.008639865554869175","169","169","169"
"85","0.006636935286223888","0.006565453950315714","0.006688985042273998","171","171","171","0.008294651284813881","0.00810340978205204","0.00843022856861353","171","171","171"
"86","0.0066433526575565335","0.00658033462241292","0.006786647252738476","173","173","173","0.008340909704566002","0.008217135444283485","0.008520610630512238","173","173","173"
"87","0.0066605695523321625","0.006491448264569044","0.006761825177818537","175","175","175","0.00839333962649107","0.008267119526863098","0.008628308773040771","175","175","175"
"88","0.0066290004178881645","0.0065875486470758915","0.0067163677886128426","177","177","177","0.008271749317646026","0.008079376071691513","0.008415973745286465","177","177","177"
"89","0.006593149900436401","0.006525550503283739","0.006696442607790232","179","179","179","0.00816174764186144","0.008039379492402077","0.008266518823802471","179","179","179"
"90","0.006563348229974508","0.006495610345155001","0.006657744292169809","181","181","181","0.008132492378354072","0.008053744211792946","0.008258049376308918","181","181","181"
"91","0.006546490639448166","0.006470313761383295","0.006679483689367771","183","183","183","0.008116533048450947","0.007977225817739964","0.008408768102526665","183","183","183"
"92","0.006504798959940672","0.006430743727833033","0.006597932428121567","185","185","185","0.008154414966702462","0.008055535145103931","0.008239109069108963","185","185","185"
"93","0.006524153705686331","0.006400892045348883","0.006741580553352833","187","187","187","0.008039904572069646","0.00793042778968811","0.008119174279272556","187","187","187"
"94","0.006451584491878748","0.006366093177348375","0.006567453034222126","189","189","189","0.008076648227870464","0.007970701903104782","0.008245795965194702","189","189","189"
"95","0.006556484941393137","0.006432364694774151","0.006705328356474638","191","191","191","0.00806124210357666","0.007905595935881138","0.008249719627201557","191","191","191"
"96","0.006423626281321049","0.006289320532232523","0.006556683219969273","193","193","193","0.007945306599140167","0.007895899936556816","0.007997225038707256","193","193","193"
"97","0.006437429692596197","0.006364477798342705","0.006488313898444176","195","195","195","0.0079284293577075","0.007798428647220135","0.008089499548077583","195","195","195"
"98","0.0064474564045667645","0.006381346844136715","0.006529861595481634","197","197","197","0.0079569804482162","0.007791250478476286","0.008192070759832859","197","197","197"
"99","0.006397310364991427","0.0063271536491811275","0.006435862276703119","199","199","199","0.007925218343734742","0.007858922705054283","0.007996843196451664","199","199","199"
"100","0.006384576112031937","0.006279710214585066","0.006488888058811426","201","201","201","0.007910763751715422","0.0077683706767857075","0.008040070533752441","201","201","201"
"101","0.006372151896357536","0.006259948015213013","0.006482724566012621","203","203","203","0.007836158853024244","0.00770298158749938","0.008027814328670502","203","203","203"
"102","0.006337886676192284","0.006267714314162731","0.006447425112128258","205","205","205","0.007821790408343077","0.007715220097452402","0.007882158271968365","205","205","205"
"103","0.006322298757731914","0.006207843776792288","0.0064559695310890675","207","207","207","0.007804913446307182","0.007780730724334717","0.007832915522158146","207","207","207"
"104","0.006326727475970984","0.00627128267660737","0.006355496123433113","209","209","209","0.007844987697899342","0.007737696170806885","0.007927256636321545","209","209","209"
"105","0.006260722782462836","0.006185286212712526","0.006415918935090303","211","211","211","0.0077832799404859545","0.00765777425840497","0.007955853827297688","211","211","211"
"106","0.006285493262112141","0.006259291898459196","0.006318179424852133","213","213","213","0.00771491676568985","0.007574300281703472","0.00787704810500145","213","213","213"
"107","0.00624148640781641","0.006188658997416496","0.006283480208367109","215","215","215","0.0077129069715738295","0.0076116821728646755","0.007788900751620531","215","215","215"
"108","0.006261461414396763","0.006214824505150318","0.006311861332505941","217","217","217","0.007728869654238224","0.007648750673979521","0.00788332149386406","217","217","217"
"109","0.006243876181542873","0.006159326061606407","0.006402893923223019","219","219","219","0.007633589580655098","0.007527030538767576","0.0077324481680989265","219","219","219"
"110","0.006194529682397842","0.00609832676127553","0.006277510896325111","221","221","221","0.007687725778669119","0.007576780393719673","0.00794306118041277","221","221","221"
"111","0.006219453550875187","0.00618039071559906","0.0062621948309242725","223","223","223","0.007704938482493162","0.00756202545017004","0.0077990698628127575","223","223","223"
"112","0.006171665247529745","0.00611108960583806","0.00623469240963459","225","225","225","0.007592358160763979","0.007513268850743771","0.007674493361264467","225","225","225"
